station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
PQL,2011-04-25 00:13,-88.5319,30.4636,5.00,75.20,69.80,83.32,140.00,7.00,null,30.02,null,10.00,null,FEW,SCT,BKN,   ,1400.00,1900.00,3200.00,null,null,null,null,null,null,null,null,76.34,KPQL 250013Z AUTO 14007KT 10SM FEW014 SCT019 BKN032 24/21 A3002 RMK AO2,null
CRX,2011-04-25 00:15,-88.6035,34.9150,129.00,75.20,62.60,64.91,160.00,5.00,null,29.94,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,75.20,KCRX 250015Z AUTO 16005KT 10SM CLR 24/17 A2994 RMK AO2,null
M16,2011-04-25 00:15,-90.4105,32.3045,75.30,77.00,62.60,61.13,150.00,5.00,null,29.92,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,77.00,KM16 250015Z AUTO 15005KT 10SM CLR 25/17 A2992 RMK AO2,null
CKM,2011-04-25 00:15,-90.5123,34.2997,52.70,78.80,62.60,57.60,170.00,8.00,null,29.89,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,80.31,KCKM 250015Z AUTO 17008KT 10SM CLR 26/17 A2989 RMK AO1,null
1R7,2011-04-25 00:15,-90.4093,31.6058,149.00,78.80,64.40,61.36,150.00,8.00,null,29.96,null,8.00,14.00,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,80.56,K1R7 250015Z AUTO 15008G14KT 020V020 8SM CLR 26/18 A2996 RMK AO2,null
PIB,2011-04-25 00:15,-89.3371,31.4671,91.00,77.00,60.80,57.36,170.00,10.00,null,30.00,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,77.00,KPIB 250015Z AUTO 17010KT 10SM CLR 25/16 A3000 RMK AO1,null
MYT,2011-04-25 00:15,-89.6150,28.2206,0.00,78.80,71.60,78.62,150.00,15.00,null,29.96,null,2.50,null,CLR,   ,   ,   ,null,null,null,null,HZ,null,null,null,null,null,null,81.70,KMYT 250015Z AUTO 15015KT 2 1/2SM HZ CLR 26/22 A2996 RMK A01,null
HEZ,2011-04-25 00:15,-91.2973,31.6137,83.00,78.80,60.80,54.05,170.00,7.00,null,29.89,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,78.80,KHEZ 250015Z AUTO 17007KT 10SM CLR 26/16 A2989 RMK AO1,null
UTA,2011-04-25 00:15,-90.3467,34.6811,59.00,78.80,60.80,54.05,170.00,9.00,null,29.89,null,10.00,null,SCT,SCT,SCT,   ,6000.00,7500.00,8000.00,null,null,null,null,null,null,null,null,78.80,KUTA 250015Z AUTO 17009KT 10SM SCT060 SCT075 SCT080 26/16 A2989 RMK AO2,null
UOX,2011-04-25 00:15,-89.5368,34.3843,137.80,77.00,59.00,53.80,null,null,null,29.93,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,77.00,KUOX 250015Z AUTO 00000KT 10SM CLR 25/15 A2993 RMK AO2,null
MIS,2011-04-25 00:15,-88.8420,29.2960,32.00,82.40,73.40,74.28,0.00,5.00,null,30.01,null,3.00,11.00,FEW,FEW,SCT,   ,3000.00,3600.00,4700.00,null,HZ,null,null,null,null,null,null,88.26,KMIS 250015Z AUTO VRB05G11KT 3SM HZ FEW030 FEW036 SCT047 28/23 A3001 RMK A01,null
CRX,2011-04-25 00:35,-88.6035,34.9150,129.00,73.40,62.60,68.94,150.00,4.00,null,29.94,null,10.00,null,FEW,   ,   ,   ,6500.00,null,null,null,null,null,null,null,null,null,null,73.40,KCRX 250035Z AUTO 15004KT 10SM FEW065 23/17 A2994 RMK AO2,null
CKM,2011-04-25 00:35,-90.5123,34.2997,52.70,77.00,64.40,65.12,160.00,4.00,null,29.90,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,77.00,KCKM 250035Z AUTO 16004KT 10SM CLR 25/18 A2990 RMK AO1,null
HEZ,2011-04-25 00:35,-91.2973,31.6137,83.00,78.80,60.80,54.05,180.00,7.00,null,29.90,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,78.80,KHEZ 250035Z AUTO 18007KT 10SM CLR 26/16 A2990 RMK AO1,null
UOX,2011-04-25 00:35,-89.5368,34.3843,137.80,75.20,60.80,60.90,null,null,null,29.93,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,75.20,KUOX 250035Z AUTO 00000KT 10SM CLR 24/16 A2993 RMK AO2,null
1R7,2011-04-25 00:35,-90.4093,31.6058,149.00,77.00,62.60,61.13,140.00,5.00,null,29.96,null,9.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,77.00,K1R7 250035Z AUTO 14005KT 9SM CLR 25/17 A2996 RMK AO2,null
M16,2011-04-25 00:35,-90.4105,32.3045,75.30,75.20,62.60,64.91,140.00,3.00,null,29.91,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,75.20,KM16 250035Z AUTO 14003KT 10SM CLR 24/17 A2991 RMK AO2,null
